"STATION","NAME","DATE","PRCP","SNOW"
"USC00300321","AUBURN, NY US","1940-01-01","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-02","0.09","2.2"
"USC00300321","AUBURN, NY US","1940-01-03","0.01","0.3"
"USC00300321","AUBURN, NY US","1940-01-04","0.03","1.2"
"USC00300321","AUBURN, NY US","1940-01-05","0.11","1.9"
"USC00300321","AUBURN, NY US","1940-01-06","0.12","2.0"
"USC00300321","AUBURN, NY US","1940-01-07","0.00","0.4"
"USC00300321","AUBURN, NY US","1940-01-08","0.02","0.7"
"USC00300321","AUBURN, NY US","1940-01-09","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-10","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-11","0.09","0.0"
"USC00300321","AUBURN, NY US","1940-01-12","0.18","2.3"
"USC00300321","AUBURN, NY US","1940-01-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-14","0.13","0.0"
"USC00300321","AUBURN, NY US","1940-01-15","0.03","0.0"
"USC00300321","AUBURN, NY US","1940-01-16","0.00","0.6"
"USC00300321","AUBURN, NY US","1940-01-17","0.00","0.2"
"USC00300321","AUBURN, NY US","1940-01-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-19","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-20","0.02","0.4"
"USC00300321","AUBURN, NY US","1940-01-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-22","0.11","2.2"
"USC00300321","AUBURN, NY US","1940-01-23","0.00","1.3"
"USC00300321","AUBURN, NY US","1940-01-24","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-25","0.03","0.7"
"USC00300321","AUBURN, NY US","1940-01-26","0.08","2.8"
"USC00300321","AUBURN, NY US","1940-01-27","0.04","1.4"
"USC00300321","AUBURN, NY US","1940-01-28","0.10","2.1"
"USC00300321","AUBURN, NY US","1940-01-29","0.06","3.0"
"USC00300321","AUBURN, NY US","1940-01-30","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-01-31","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-01","0.09","0.0"
"USC00300321","AUBURN, NY US","1940-02-02","0.11","3.2"
"USC00300321","AUBURN, NY US","1940-02-03","0.02","1.2"
"USC00300321","AUBURN, NY US","1940-02-04","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-05","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-06","0.11","0.0"
"USC00300321","AUBURN, NY US","1940-02-07","0.03","0.2"
"USC00300321","AUBURN, NY US","1940-02-08","0.01","0.5"
"USC00300321","AUBURN, NY US","1940-02-09","0.15","0.7"
"USC00300321","AUBURN, NY US","1940-02-10","0.85","1.3"
"USC00300321","AUBURN, NY US","1940-02-11","0.13","0.6"
"USC00300321","AUBURN, NY US","1940-02-12","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-13","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-14","1.33","14.5"
"USC00300321","AUBURN, NY US","1940-02-15","0.00","1.5"
"USC00300321","AUBURN, NY US","1940-02-16","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-17","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-18","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-19","2.75","0.0"
"USC00300321","AUBURN, NY US","1940-02-20","0.15","2.8"
"USC00300321","AUBURN, NY US","1940-02-21","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-22","0.00","0.0"
"USC00300321","AUBURN, NY US","1940-02-23","0.07","1.9"
"USC00300321","AUBURN, NY US","1940-02-24","0.07","1.3"
"USC00300321","AUBURN, NY US","1940-02-25","0.05","1.2"
